epoch 1/800  train 0.4838  val 0.3862
epoch 2/800  train 0.1286  val 0.0837
epoch 3/800  train 0.0636  val 0.0397
epoch 4/800  train 0.0442  val 0.0308
epoch 5/800  train 0.0407  val 0.0304
epoch 6/800  train 0.0374  val 0.0690
epoch 7/800  train 0.0469  val 0.0448
epoch 8/800  train 0.0369  val 0.0391
epoch 9/800  train 0.0312  val 0.0389
epoch 10/800  train 0.0314  val 0.0312
epoch 11/800  train 0.0284  val 0.0472
epoch 12/800  train 0.0423  val 0.0517
epoch 13/800  train 0.0364  val 0.0675
epoch 14/800  train 0.0402  val 0.0519
epoch 15/800  train 0.0291  val 0.0236
epoch 16/800  train 0.0222  val 0.0256
epoch 17/800  train 0.0192  val 0.0225
epoch 18/800  train 0.0157  val 0.0210
epoch 19/800  train 0.0146  val 0.0216
epoch 20/800  train 0.0144  val 0.0237
epoch 21/800  train 0.0161  val 0.0320
epoch 22/800  train 0.0242  val 0.0337
epoch 23/800  train 0.0396  val 0.1164
epoch 24/800  train 0.0517  val 0.0405
epoch 25/800  train 0.0483  val 0.0650
epoch 26/800  train 0.0280  val 0.0294
epoch 27/800  train 0.0184  val 0.0212
epoch 28/800  train 0.0155  val 0.0242
epoch 29/800  train 0.0161  val 0.0357
epoch 30/800  train 0.0181  val 0.0318
epoch 31/800  train 0.0153  val 0.0217
epoch 32/800  train 0.0133  val 0.0216
epoch 33/800  train 0.0121  val 0.0251
epoch 34/800  train 0.0132  val 0.0284
epoch 35/800  train 0.0147  val 0.0203
epoch 36/800  train 0.0274  val 0.1167
epoch 37/800  train 0.0671  val 0.0640
epoch 38/800  train 0.0597  val 0.0553
epoch 39/800  train 0.0419  val 0.0417
epoch 40/800  train 0.0280  val 0.0578
epoch 41/800  train 0.0289  val 0.0233
epoch 42/800  train 0.0178  val 0.0221
epoch 43/800  train 0.0171  val 0.0202
epoch 44/800  train 0.0253  val 0.0282
epoch 45/800  train 0.0224  val 0.0262
epoch 46/800  train 0.0168  val 0.0199
epoch 47/800  train 0.0141  val 0.0203
epoch 48/800  train 0.0128  val 0.0187
epoch 49/800  train 0.0670  val 0.2204
epoch 50/800  train 0.1018  val 0.4000
epoch 51/800  train 0.0848  val 0.1578
epoch 52/800  train 0.0472  val 0.0368
epoch 53/800  train 0.0363  val 0.0304
epoch 54/800  train 0.0279  val 0.0241
epoch 55/800  train 0.0239  val 0.0218
epoch 56/800  train 0.0203  val 0.0191
epoch 57/800  train 0.0173  val 0.0177
epoch 58/800  train 0.0258  val 0.0277
epoch 59/800  train 0.0444  val 0.1029
epoch 60/800  train 0.0350  val 0.0349
epoch 61/800  train 0.0297  val 0.0321
epoch 62/800  train 0.0448  val 0.0513
epoch 63/800  train 0.0548  val 0.0600
epoch 64/800  train 0.0353  val 0.0227
epoch 65/800  train 0.0268  val 0.0245
epoch 66/800  train 0.0234  val 0.0234
epoch 67/800  train 0.0173  val 0.0197
epoch 68/800  train 0.0166  val 0.0219
epoch 69/800  train 0.0189  val 0.0225
epoch 70/800  train 0.0168  val 0.0179
epoch 71/800  train 0.0141  val 0.0185
epoch 72/800  train 0.0131  val 0.0178
epoch 73/800  train 0.0122  val 0.0178
epoch 74/800  train 0.0117  val 0.0181
epoch 75/800  train 0.0119  val 0.0188
epoch 76/800  train 0.0134  val 0.0171
epoch 77/800  train 0.0122  val 0.0215
epoch 78/800  train 0.0112  val 0.0184
epoch 79/800  train 0.0112  val 0.0203
epoch 80/800  train 0.0108  val 0.0178
epoch 81/800  train 0.0097  val 0.0179
epoch 82/800  train 0.0092  val 0.0176
epoch 83/800  train 0.0095  val 0.0184
epoch 84/800  train 0.0093  val 0.0192
epoch 85/800  train 0.0092  val 0.0180
epoch 86/800  train 0.0103  val 0.0184
epoch 87/800  train 0.0092  val 0.0172
epoch 88/800  train 0.0101  val 0.0206
epoch 89/800  train 0.0095  val 0.0202
epoch 90/800  train 0.0086  val 0.0172
epoch 91/800  train 0.0517  val 1.0345
epoch 92/800  train 0.1185  val 0.1111
epoch 93/800  train 0.0767  val 0.0941
epoch 94/800  train 0.0776  val 0.0678
epoch 95/800  train 0.0458  val 0.0518
epoch 96/800  train 0.0403  val 0.0390
epoch 97/800  train 0.0307  val 0.0539
epoch 98/800  train 0.0362  val 0.0300
epoch 99/800  train 0.0279  val 0.0277
epoch 100/800  train 0.0247  val 0.0323
epoch 101/800  train 0.0205  val 0.0218
epoch 102/800  train 0.0187  val 0.0206
epoch 103/800  train 0.0184  val 0.0296
epoch 104/800  train 0.0180  val 0.0219
epoch 105/800  train 0.0156  val 0.0255
epoch 106/800  train 0.0162  val 0.0221
epoch 107/800  train 0.0147  val 0.0209
epoch 108/800  train 0.0137  val 0.0180
epoch 109/800  train 0.0132  val 0.0216
epoch 110/800  train 0.0193  val 0.1221
epoch 111/800  train 0.0414  val 0.0932
epoch 112/800  train 0.0437  val 0.0460
epoch 113/800  train 0.0339  val 0.0604
epoch 114/800  train 0.0353  val 0.0535
epoch 115/800  train 0.0255  val 0.0305
