epoch,fold,config,train_loss,val_loss,weighted_f1,roc_auc,kappa,accuracy
0,0,A,1.331107,1.170882,0.720738,0.804436,0.592351,0.724167
1,0,A,1.132884,1.095951,0.676952,0.815755,0.579210,0.641119
2,0,A,1.063359,1.088475,0.759884,0.838689,0.626651,0.763664
3,0,A,1.008589,1.057042,0.695762,0.844758,0.610872,0.644748
4,0,A,0.966170,1.049788,0.747952,0.855933,0.681892,0.724594
5,0,A,0.929214,1.070735,0.537559,0.847909,0.507384,0.452605
6,0,A,0.931117,1.047868,0.678746,0.847997,0.600688,0.633219
7,0,A,0.841462,0.993911,0.736309,0.868269,0.670789,0.701324
0,0,B,1.320801,1.220329,0.702719,0.789889,0.541370,0.696627
1,0,B,1.152301,1.205838,0.716091,0.813210,0.592587,0.714987
2,0,B,1.069786,1.126077,0.648937,0.812759,0.518468,0.598420
3,0,B,1.007623,1.059433,0.740913,0.838213,0.627448,0.733561
4,0,B,0.975739,1.152938,0.501256,0.818412,0.458487,0.427412
5,0,B,0.974645,1.195411,0.473416,0.814751,0.411024,0.401153
6,0,B,0.917046,1.132726,0.642006,0.839838,0.472146,0.581768
7,0,B,0.882318,1.075178,0.718746,0.858550,0.613754,0.687874
8,0,B,0.780414,1.075286,0.688594,0.849374,0.609516,0.646670
0,0,C,1.272731,1.121646,0.671216,0.806703,0.529397,0.638343
1,0,C,1.009180,1.073361,0.700379,0.827594,0.595681,0.664603
2,0,C,0.907650,1.096487,0.565252,0.831394,0.546761,0.486123
3,0,C,0.812027,1.077933,0.617523,0.851833,0.577133,0.541418
4,0,C,0.716749,1.183267,0.598627,0.818954,0.529147,0.527968
5,0,C,0.627436,1.213206,0.654925,0.837761,0.577337,0.596499
6,0,C,0.476601,1.533885,0.684827,0.829215,0.611804,0.631725
0,1,A,1.357155,1.192295,0.631665,0.800971,0.520580,0.576644
1,1,A,1.132915,1.120491,0.616623,0.828715,0.573449,0.547395
2,1,A,1.064229,1.141230,0.746049,0.838679,0.659169,0.746371
3,1,A,1.018987,1.069060,0.757647,0.854720,0.690101,0.744236
4,1,A,0.981605,1.113497,0.711221,0.846093,0.638060,0.673570
5,1,A,0.933241,1.043204,0.726493,0.858223,0.689790,0.690436
6,1,A,0.901527,1.110632,0.662729,0.850458,0.628299,0.600555
7,1,A,0.895163,1.127857,0.585797,0.857172,0.564610,0.504910
8,1,A,0.773709,1.291868,0.748089,0.860720,0.681301,0.724381
0,1,B,1.293302,1.191758,0.663222,0.803162,0.508174,0.619983
1,1,B,1.124289,1.172632,0.639561,0.819887,0.517614,0.580914
2,1,B,1.105165,1.156716,0.700793,0.831581,0.584571,0.667592
3,1,B,1.038005,1.173958,0.738168,0.844767,0.618669,0.724808
4,1,B,1.007003,1.222248,0.668219,0.792361,0.557943,0.626601
5,1,B,0.977001,1.244001,0.684825,0.853815,0.600458,0.631725
6,1,B,0.946842,1.061360,0.745653,0.851672,0.646416,0.739752
7,1,B,0.925415,1.204930,0.716907,0.856990,0.617711,0.685952
8,1,B,0.890017,1.139939,0.506324,0.827826,0.523319,0.424851
9,1,B,0.888223,1.179370,0.758160,0.860505,0.639475,0.766012
10,1,B,0.836562,1.184842,0.614041,0.823984,0.572287,0.542912
11,1,B,0.820112,1.129865,0.715740,0.859220,0.623431,0.678266
12,1,B,0.794405,1.134363,0.767443,0.840879,0.673304,0.775406
13,1,B,0.783121,1.200397,0.718327,0.859914,0.641805,0.697694
14,1,B,0.777425,1.250662,0.508004,0.848626,0.521505,0.428053
15,1,B,0.743909,1.352774,0.772170,0.862011,0.676904,0.771349
16,1,B,0.723971,1.325678,0.713090,0.841354,0.639378,0.686593
17,1,B,0.720642,1.248129,0.721153,0.846559,0.649895,0.692784
18,1,B,0.695012,1.277615,0.671532,0.829395,0.617381,0.617635
19,1,B,0.672143,1.278989,0.767162,0.849830,0.667288,0.761956
0,1,C,1.264965,1.619282,0.678932,0.797638,0.528359,0.660120
1,1,C,1.006535,1.333151,0.712997,0.813439,0.576170,0.700683
2,1,C,0.916678,1.069980,0.656947,0.828254,0.603744,0.605892
3,1,C,0.798577,1.125268,0.716544,0.837891,0.592696,0.689795
4,1,C,0.727362,1.101897,0.737763,0.843766,0.653707,0.719471
5,1,C,0.631539,1.288233,0.616176,0.836158,0.574597,0.541418
6,1,C,0.561290,1.542390,0.729246,0.828479,0.654383,0.702605
7,1,C,0.489137,1.412893,0.672550,0.826181,0.593064,0.620196
8,1,C,0.420912,1.639929,0.683313,0.817185,0.612982,0.636422
9,1,C,0.297899,1.686407,0.754917,0.839295,0.697070,0.747011
10,1,C,0.245370,1.900249,0.763652,0.835945,0.696161,0.756405
0,2,A,1.344759,1.208796,0.489245,0.799047,0.439085,0.408372
1,2,A,1.134133,1.134868,0.389671,0.819792,0.483947,0.317172
2,2,A,1.054000,1.095386,0.710384,0.842245,0.613987,0.671935
3,2,A,1.026870,1.070200,0.606769,0.842276,0.557537,0.533319
4,2,A,0.980395,1.004843,0.738232,0.850607,0.641375,0.713798
5,2,A,0.938137,1.095514,0.747502,0.846982,0.658156,0.751815
6,2,A,0.925423,1.081070,0.765993,0.860911,0.683818,0.755019
7,2,A,0.895823,1.042798,0.711148,0.852329,0.638286,0.667236
8,2,A,0.848135,1.066800,0.683807,0.855007,0.658809,0.637762
9,2,A,0.833825,1.066441,0.738968,0.860678,0.664799,0.711875
10,2,A,0.824641,1.203146,0.769374,0.850741,0.684949,0.766553
