epoch,fold,config,train_loss,val_loss,weighted_f1,roc_auc,kappa,accuracy
0,0,A,1.205645,1.076227,0.723271,0.822043,0.578944,0.714347
1,0,A,1.050887,1.014552,0.766771,0.860770,0.669490,0.760746
2,0,A,0.996375,1.042009,0.759502,0.861860,0.669049,0.749787
3,0,A,0.974116,0.968689,0.769611,0.871604,0.643414,0.757899
4,0,A,0.936253,1.001227,0.730407,0.866807,0.686281,0.691574
5,0,A,0.919126,0.937704,0.774505,0.886725,0.735528,0.755195
6,0,A,0.903121,1.005966,0.686501,0.858665,0.610547,0.631939
7,0,A,0.880207,0.966971,0.772083,0.874998,0.709041,0.758326
8,0,A,0.875407,0.946645,0.748449,0.885414,0.703886,0.713920
9,0,A,0.867114,0.965210,0.762581,0.879400,0.707754,0.737831
10,0,A,0.853792,0.971167,0.773313,0.883744,0.726236,0.753629
11,0,A,0.829738,0.939926,0.749720,0.887448,0.722157,0.710931
12,0,A,0.759040,0.928040,0.763356,0.886316,0.731443,0.731711
13,0,A,0.756806,0.928251,0.715774,0.891920,0.701432,0.661401
14,0,A,0.722912,0.946419,0.737777,0.888614,0.721221,0.691432
15,0,A,0.716192,0.974914,0.751621,0.888757,0.703304,0.713066
16,0,A,0.691161,0.990595,0.677137,0.887879,0.657793,0.610874
17,0,A,0.680929,0.974097,0.734413,0.890919,0.728366,0.688585
18,0,A,0.626720,0.979648,0.768803,0.896113,0.752815,0.732849
