epoch,fold,config,train_loss,val_loss,weighted_f1,roc_auc,kappa,accuracy
0,0,C,0.142350,0.194886,0.611864,0.834033,0.602731,0.544976
1,0,C,0.095062,0.144720,0.587365,0.859220,0.597253,0.505693
2,0,C,0.063776,0.154010,0.664722,0.850098,0.626764,0.600911
3,0,C,0.037719,0.192519,0.698261,0.835666,0.619842,0.654569
4,0,C,0.028568,0.212819,0.757289,0.837666,0.692219,0.747367
5,0,C,0.022122,0.283846,0.728253,0.824045,0.664424,0.697552
6,0,C,0.023609,0.236390,0.694866,0.827798,0.641788,0.651580
7,0,C,0.023137,0.318678,0.767450,0.829431,0.695347,0.768432
8,0,C,0.021540,0.236785,0.691798,0.832773,0.641685,0.647737
9,0,C,0.022811,0.248453,0.762228,0.830760,0.689405,0.763023
10,0,C,0.019653,0.260380,0.770025,0.832600,0.693427,0.773840
11,0,C,0.019905,0.298309,0.773896,0.811004,0.688695,0.779106
12,0,C,0.020396,0.330450,0.781857,0.809166,0.700674,0.793339
13,0,C,0.022232,0.291435,0.743010,0.810763,0.663190,0.721463
14,0,C,0.019887,0.318521,0.691520,0.795792,0.624770,0.645602
15,0,C,0.019104,0.244765,0.676435,0.814573,0.574337,0.637489
16,0,C,0.018070,0.255102,0.729894,0.815637,0.628830,0.715912
17,0,C,0.007791,0.331903,0.765618,0.809520,0.683803,0.769997
0,1,C,0.142800,0.130009,0.530737,0.849588,0.551898,0.450612
1,1,C,0.096115,0.129881,0.679784,0.862068,0.652708,0.620552
2,1,C,0.065573,0.164387,0.772005,0.867021,0.727157,0.759323
3,1,C,0.037647,0.207725,0.768044,0.852059,0.707438,0.761173
4,1,C,0.028635,0.223384,0.711359,0.834926,0.650049,0.671933
5,1,C,0.025260,0.233852,0.723373,0.843479,0.641133,0.689724
6,1,C,0.023602,0.299349,0.769341,0.820396,0.697990,0.763165
7,1,C,0.009159,0.289966,0.760772,0.841021,0.684442,0.745374
0,2,C,0.143329,0.131891,0.705482,0.857429,0.625047,0.658127
1,2,C,0.095727,0.109609,0.644192,0.850907,0.602184,0.587817
2,2,C,0.062054,0.132552,0.617480,0.853805,0.600881,0.550384
3,2,C,0.040553,0.206755,0.734903,0.850404,0.648481,0.708227
4,2,C,0.027842,0.207882,0.733553,0.845886,0.661294,0.708369
5,2,C,0.023520,0.235302,0.698646,0.838450,0.599537,0.666097
6,2,C,0.023930,0.271457,0.765167,0.838059,0.673342,0.761173
7,2,C,0.021676,0.262753,0.732944,0.833320,0.628662,0.711927
8,2,C,0.023931,0.225153,0.761177,0.839857,0.708408,0.759750
9,2,C,0.023231,0.249637,0.748823,0.839112,0.698117,0.726872
10,2,C,0.022899,0.273136,0.724692,0.825570,0.650753,0.701110
11,2,C,0.008468,0.254885,0.761325,0.842787,0.693123,0.749217
0,3,C,0.141642,0.116019,0.705546,0.844060,0.661224,0.664151
1,3,C,0.096551,0.121398,0.721240,0.860396,0.682862,0.679243
2,3,C,0.064015,0.138237,0.689915,0.855939,0.623986,0.645359
3,3,C,0.037808,0.186342,0.593937,0.840849,0.600751,0.520786
4,3,C,0.026697,0.209481,0.748752,0.849726,0.685310,0.729499
5,3,C,0.024760,0.173731,0.740979,0.853614,0.692645,0.718536
6,3,C,0.022872,0.229968,0.731332,0.848978,0.655765,0.704869
7,3,C,0.022012,0.250863,0.753048,0.839627,0.688255,0.740746
8,3,C,0.022440,0.225714,0.533852,0.821209,0.549432,0.458428
9,3,C,0.021519,0.315385,0.759451,0.822301,0.682719,0.749288
10,3,C,0.020885,0.265330,0.744088,0.830998,0.653375,0.735905
11,3,C,0.021409,0.251809,0.750695,0.827407,0.679551,0.738895
12,3,C,0.020043,0.262510,0.732558,0.826730,0.682586,0.701737
13,3,C,0.021284,0.282631,0.773532,0.823885,0.705583,0.784453
