epoch,fold,config,train_loss,val_loss,weighted_f1,roc_auc,kappa,accuracy
0,0,baseline_clahe,0.193725,0.137503,0.480533,0.778664,0.333998,0.418406
1,0,baseline_clahe,0.122118,0.136419,0.432005,0.793897,0.433641,0.363378
2,0,baseline_clahe,0.096136,0.137861,0.550177,0.812494,0.495872,0.472486
3,0,baseline_clahe,0.075553,0.171806,0.707864,0.800882,0.560019,0.688805
4,0,baseline_clahe,0.048143,0.191215,0.725804,0.810069,0.616476,0.703985
5,0,baseline_clahe,0.042052,0.200531,0.671952,0.797807,0.573133,0.626186
6,0,baseline_clahe,0.028913,0.259983,0.677846,0.800984,0.545913,0.646110
7,0,baseline_clahe,0.020139,0.229423,0.691693,0.804988,0.561072,0.660342
8,0,baseline_clahe,0.013464,0.282052,0.684184,0.791565,0.518420,0.658444
9,0,baseline_clahe,0.010535,0.277026,0.723281,0.800968,0.610060,0.711575
0,1,baseline_clahe,0.190859,0.138155,0.496505,0.781569,0.416025,0.425047
1,1,baseline_clahe,0.124903,0.129676,0.659155,0.801810,0.535660,0.633776
2,1,baseline_clahe,0.088078,0.145376,0.505421,0.805302,0.493612,0.438330
3,1,baseline_clahe,0.068981,0.163237,0.649611,0.816009,0.533171,0.605313
4,1,baseline_clahe,0.047645,0.161099,0.685632,0.821490,0.606918,0.659393
5,1,baseline_clahe,0.031647,0.241860,0.637417,0.818447,0.573861,0.581594
6,1,baseline_clahe,0.026519,0.227990,0.683233,0.817474,0.576173,0.656546
7,1,baseline_clahe,0.019806,0.232038,0.694614,0.820942,0.612427,0.673624
8,1,baseline_clahe,0.017671,0.299568,0.658592,0.825616,0.496465,0.623340
9,1,baseline_clahe,0.014500,0.263203,0.695218,0.820685,0.584202,0.674573
10,1,baseline_clahe,0.012644,0.258977,0.675797,0.817207,0.579888,0.640417
11,1,baseline_clahe,0.010028,0.365523,0.717304,0.826368,0.590542,0.723909
12,1,baseline_clahe,0.012771,0.365692,0.742219,0.825390,0.644669,0.750474
13,1,baseline_clahe,0.013915,0.305610,0.720230,0.825223,0.641786,0.707780
14,1,baseline_clahe,0.011366,0.365315,0.703309,0.824325,0.563733,0.695446
15,1,baseline_clahe,0.008711,0.404260,0.710650,0.812060,0.592935,0.691651
16,1,baseline_clahe,0.008899,0.238080,0.706668,0.835190,0.648337,0.677419
17,1,baseline_clahe,0.005621,0.303685,0.733138,0.841026,0.676178,0.722960
0,2,baseline_clahe,0.183274,0.133616,0.545899,0.776337,0.353191,0.485769
1,2,baseline_clahe,0.126231,0.131786,0.543716,0.808487,0.527985,0.460152
2,2,baseline_clahe,0.090347,0.127048,0.547249,0.820092,0.517314,0.468691
3,2,baseline_clahe,0.062504,0.142172,0.629459,0.823968,0.569902,0.569260
4,2,baseline_clahe,0.040597,0.187480,0.670279,0.817286,0.548153,0.629981
5,2,baseline_clahe,0.033803,0.240361,0.737727,0.822244,0.622318,0.722960
6,2,baseline_clahe,0.025970,0.221511,0.663455,0.814291,0.614660,0.600569
7,2,baseline_clahe,0.016737,0.265102,0.749527,0.826523,0.648903,0.740987
