epoch,fold,config,train_loss,val_loss,weighted_f1,roc_auc,kappa,accuracy
0,0,clahe_0.5,0.633613,0.558564,0.528218,0.810823,0.605513,0.518072
1,0,clahe_0.5,0.520367,0.430156,0.602486,0.869557,0.856083,0.614458
2,0,clahe_0.5,0.382532,0.331324,0.571799,0.869263,0.832639,0.554217
3,0,clahe_0.5,0.278483,0.287569,0.641428,0.879831,0.843402,0.626506
4,0,clahe_0.5,0.182558,0.289089,0.652170,0.885429,0.852151,0.638554
5,0,clahe_0.5,0.119931,0.288494,0.657214,0.882147,0.876944,0.638554
6,0,clahe_0.5,0.079951,0.382953,0.664336,0.879981,0.871195,0.710843
7,0,clahe_0.5,0.048674,0.360274,0.686505,0.869300,0.855926,0.686747
8,0,clahe_0.5,0.065488,0.352265,0.673911,0.883503,0.860447,0.674699
9,0,clahe_0.5,0.020615,0.376700,0.711545,0.883537,0.877562,0.722892
10,0,clahe_0.5,0.023010,0.480562,0.617898,0.870178,0.820837,0.638554
11,0,clahe_0.5,0.016274,0.454578,0.634333,0.872511,0.834622,0.638554
12,0,clahe_0.5,0.012009,0.470502,0.656801,0.871012,0.831531,0.662651
13,0,clahe_0.5,0.011277,0.619845,0.665740,0.848709,0.833528,0.674699
14,0,clahe_0.5,0.030360,0.642539,0.638078,0.850177,0.823524,0.650602
0,0,clahe_1.0,0.619682,0.564461,0.443614,0.726800,0.610998,0.445783
1,0,clahe_1.0,0.503231,0.420862,0.545846,0.854103,0.764858,0.554217
2,0,clahe_1.0,0.359650,0.308951,0.553222,0.883759,0.833117,0.530120
3,0,clahe_1.0,0.250879,0.280647,0.616641,0.882220,0.832524,0.590361
4,0,clahe_1.0,0.197611,0.336369,0.618710,0.874532,0.811994,0.650602
5,0,clahe_1.0,0.141493,0.365052,0.672851,0.873824,0.834817,0.686747
6,0,clahe_1.0,0.102255,0.387482,0.681263,0.864874,0.849295,0.674699
7,0,clahe_1.0,0.068129,0.441858,0.653894,0.860857,0.857969,0.662651
8,0,clahe_1.0,0.042634,0.449181,0.637856,0.866122,0.837548,0.626506
9,0,clahe_1.0,0.023947,0.521599,0.648493,0.870995,0.848982,0.686747
10,0,clahe_1.0,0.023235,0.520353,0.701438,0.867098,0.847298,0.710843
11,0,clahe_1.0,0.017520,0.445929,0.675576,0.875893,0.869372,0.674699
12,0,clahe_1.0,0.024079,0.599690,0.683489,0.869889,0.809577,0.698795
13,0,clahe_1.0,0.017653,0.670291,0.636298,0.858840,0.809711,0.686747
14,0,clahe_1.0,0.018051,0.580817,0.655285,0.864446,0.818953,0.674699
15,0,clahe_1.0,0.012039,0.471256,0.714505,0.887791,0.867685,0.710843
16,0,clahe_1.0,0.020374,0.489652,0.690444,0.878208,0.849862,0.686747
17,0,clahe_1.0,0.027232,0.530549,0.629938,0.872763,0.835457,0.650602
18,0,clahe_1.0,0.012388,0.569204,0.645597,0.860780,0.833264,0.650602
19,0,clahe_1.0,0.012226,0.556569,0.621982,0.853083,0.817217,0.614458
0,0,clahe_1.5,0.626211,0.558220,0.522418,0.802611,0.684177,0.506024
1,0,clahe_1.5,0.537055,0.441289,0.567500,0.876417,0.836784,0.554217
2,0,clahe_1.5,0.401110,0.327317,0.547106,0.880434,0.868786,0.530120
3,0,clahe_1.5,0.284324,0.271101,0.591479,0.892850,0.863621,0.566265
4,0,clahe_1.5,0.215400,0.285996,0.636521,0.889720,0.870613,0.650602
5,0,clahe_1.5,0.166169,0.318156,0.680526,0.883085,0.872050,0.710843
6,0,clahe_1.5,0.103501,0.362984,0.699325,0.880873,0.887147,0.734940
7,0,clahe_1.5,0.070614,0.380147,0.667423,0.871030,0.865200,0.686747
8,0,clahe_1.5,0.046048,0.465677,0.649636,0.874989,0.830654,0.686747
9,0,clahe_1.5,0.044872,0.390778,0.714949,0.885648,0.868949,0.710843
10,0,clahe_1.5,0.026011,0.498797,0.691395,0.868157,0.843838,0.698795
11,0,clahe_1.5,0.029866,0.454655,0.693076,0.873133,0.856638,0.698795
12,0,clahe_1.5,0.019127,0.399944,0.695042,0.886335,0.872857,0.698795
13,0,clahe_1.5,0.016109,0.472542,0.625060,0.868587,0.828891,0.638554
14,0,clahe_1.5,0.020710,0.495432,0.636509,0.870442,0.818367,0.662651
0,0,clahe_2.0,0.643203,0.546995,0.448814,0.814466,0.668458,0.493976
1,0,clahe_2.0,0.526783,0.441714,0.512403,0.856883,0.792506,0.542169
2,0,clahe_2.0,0.397473,0.347663,0.527819,0.866448,0.780975,0.530120
3,0,clahe_2.0,0.308016,0.307879,0.564248,0.864130,0.809032,0.554217
4,0,clahe_2.0,0.206353,0.305102,0.640580,0.878010,0.814584,0.638554
5,0,clahe_2.0,0.155719,0.354192,0.612784,0.851615,0.819593,0.614458
6,0,clahe_2.0,0.117930,0.385995,0.614882,0.872641,0.819650,0.638554
7,0,clahe_2.0,0.067489,0.377099,0.640216,0.859363,0.861792,0.650602
8,0,clahe_2.0,0.051976,0.500418,0.603949,0.831090,0.795447,0.602410
9,0,clahe_2.0,0.045859,0.488644,0.655767,0.847757,0.815399,0.662651
10,0,clahe_2.0,0.023269,0.523472,0.591366,0.841388,0.785547,0.590361
11,0,clahe_2.0,0.029857,0.501301,0.641947,0.841943,0.852956,0.638554
12,0,clahe_2.0,0.026396,0.485359,0.680554,0.856750,0.840626,0.686747
13,0,clahe_2.0,0.024759,0.487867,0.624526,0.848060,0.841312,0.614458
14,0,clahe_2.0,0.019916,0.490341,0.694984,0.861799,0.857535,0.710843
15,0,clahe_2.0,0.020858,0.506197,0.670793,0.855581,0.847321,0.674699
16,0,clahe_2.0,0.012252,0.507084,0.685329,0.860511,0.847837,0.686747
17,0,clahe_2.0,0.024625,0.569570,0.702378,0.857953,0.865510,0.722892
18,0,clahe_2.0,0.029489,0.514167,0.666835,0.858780,0.839825,0.662651
19,0,clahe_2.0,0.016054,0.548631,0.623893,0.854109,0.808488,0.614458
0,0,clahe_2.5,0.628519,0.552908,0.550361,0.769908,0.726894,0.578313
1,0,clahe_2.5,0.509935,0.447505,0.497385,0.853283,0.759435,0.542169
2,0,clahe_2.5,0.401057,0.347117,0.570951,0.867758,0.793388,0.554217
3,0,clahe_2.5,0.280695,0.289826,0.609636,0.869226,0.823706,0.578313
4,0,clahe_2.5,0.219597,0.310359,0.626320,0.871980,0.835644,0.614458
5,0,clahe_2.5,0.142902,0.318301,0.651550,0.882852,0.828436,0.638554
6,0,clahe_2.5,0.091228,0.388589,0.613949,0.878296,0.867696,0.614458
7,0,clahe_2.5,0.086644,0.454504,0.622672,0.860782,0.820202,0.626506
8,0,clahe_2.5,0.063067,0.519479,0.624813,0.850162,0.835263,0.638554
9,0,clahe_2.5,0.066458,0.504179,0.639124,0.847202,0.873255,0.638554
10,0,clahe_2.5,0.034181,0.531193,0.644563,0.858345,0.856840,0.650602
0,0,clahe_3.0,0.629419,0.542271,0.490448,0.819732,0.700209,0.493976
1,0,clahe_3.0,0.518067,0.428830,0.536922,0.863959,0.772603,0.542169
2,0,clahe_3.0,0.381169,0.310420,0.568785,0.868025,0.816293,0.542169
3,0,clahe_3.0,0.277519,0.277989,0.622557,0.880128,0.838589,0.602410
4,0,clahe_3.0,0.190986,0.300377,0.654605,0.891896,0.803978,0.674699
5,0,clahe_3.0,0.141161,0.353741,0.590674,0.885221,0.819609,0.638554
6,0,clahe_3.0,0.087054,0.344053,0.699007,0.889355,0.806019,0.710843
7,0,clahe_3.0,0.069416,0.400977,0.704918,0.880583,0.852587,0.722892
8,0,clahe_3.0,0.029943,0.430797,0.686511,0.889110,0.800540,0.710843
9,0,clahe_3.0,0.035466,0.418941,0.669153,0.880855,0.854337,0.674699
10,0,clahe_3.0,0.027528,0.498134,0.667178,0.864875,0.820792,0.674699
11,0,clahe_3.0,0.020811,0.473422,0.702101,0.875685,0.881325,0.710843
12,0,clahe_3.0,0.017688,0.497206,0.673009,0.876381,0.805574,0.698795
0,0,clahe_4.0,0.634090,0.557325,0.400327,0.776991,0.552809,0.481928
1,0,clahe_4.0,0.506139,0.452951,0.571840,0.841398,0.798597,0.578313
2,0,clahe_4.0,0.394325,0.336180,0.519443,0.867530,0.799745,0.518072
3,0,clahe_4.0,0.285760,0.272433,0.542791,0.882988,0.826635,0.518072
4,0,clahe_4.0,0.225546,0.297224,0.584529,0.885190,0.721033,0.590361
5,0,clahe_4.0,0.157479,0.318413,0.599951,0.869625,0.748120,0.602410
6,0,clahe_4.0,0.130679,0.293980,0.678197,0.900518,0.852038,0.686747
7,0,clahe_4.0,0.080315,0.377375,0.595291,0.883546,0.805297,0.614458
8,0,clahe_4.0,0.057504,0.414243,0.641974,0.879014,0.852746,0.662651
9,0,clahe_4.0,0.059114,0.356363,0.681135,0.898034,0.862821,0.686747
10,0,clahe_4.0,0.027593,0.451499,0.608175,0.857033,0.799000,0.614458
11,0,clahe_4.0,0.027414,0.510076,0.630365,0.873072,0.783238,0.650602
