epoch,fold,config,train_loss,val_loss,weighted_f1,roc_auc,kappa,accuracy
0,0,baseline,0.192655,0.123858,0.541752,0.788497,0.381150,0.483871
1,0,baseline,0.116441,0.127821,0.434302,0.789788,0.465024,0.358634
2,0,baseline,0.088062,0.169938,0.592765,0.773114,0.499797,0.523719
3,0,baseline,0.069850,0.165119,0.590946,0.789520,0.511909,0.523719
4,0,baseline,0.044529,0.278564,0.718446,0.789710,0.592713,0.704934
5,0,baseline,0.030023,0.220976,0.643360,0.795861,0.538198,0.590133
6,0,baseline,0.027344,0.275591,0.619195,0.795709,0.481086,0.562619
7,0,baseline,0.016069,0.262208,0.735855,0.800336,0.609218,0.737192
8,0,baseline,0.012690,0.301224,0.696990,0.783453,0.516128,0.679317
9,0,baseline,0.013075,0.316851,0.717347,0.794295,0.588867,0.699241
10,0,baseline,0.011577,0.291295,0.714669,0.794326,0.625315,0.692600
11,0,baseline,0.011559,0.391617,0.761484,0.798619,0.653544,0.777989
12,0,baseline,0.012504,0.316063,0.725116,0.806749,0.590836,0.719165
13,0,baseline,0.013978,0.333140,0.740347,0.814421,0.608528,0.741935
14,0,baseline,0.009018,0.313980,0.722161,0.807913,0.581473,0.713472
15,0,baseline,0.009072,0.322644,0.728183,0.807428,0.576201,0.727704
16,0,baseline,0.005676,0.340245,0.758551,0.811459,0.623389,0.770398
0,1,baseline,0.180872,0.126798,0.429626,0.782564,0.389071,0.367173
1,1,baseline,0.115948,0.135995,0.551406,0.820596,0.513927,0.481025
2,1,baseline,0.082330,0.159796,0.569107,0.814085,0.541350,0.499051
3,1,baseline,0.055461,0.155185,0.493869,0.819994,0.495953,0.425047
4,1,baseline,0.041715,0.191282,0.704866,0.830144,0.620605,0.685009
5,1,baseline,0.027474,0.258413,0.705138,0.824629,0.635279,0.683112
6,1,baseline,0.017270,0.270154,0.708628,0.821149,0.610296,0.686907
7,1,baseline,0.017246,0.225339,0.698650,0.829145,0.615456,0.673624
8,1,baseline,0.012804,0.206429,0.714825,0.842677,0.668296,0.687856
9,1,baseline,0.014924,0.239982,0.709129,0.832160,0.643284,0.688805
10,1,baseline,0.008646,0.256559,0.741822,0.838254,0.640003,0.736243
11,1,baseline,0.007825,0.442380,0.736901,0.812895,0.617219,0.754269
12,1,baseline,0.009653,0.380887,0.742268,0.807297,0.657520,0.749526
13,1,baseline,0.011084,0.369227,0.715066,0.824385,0.593240,0.709677
14,1,baseline,0.009075,0.363245,0.720628,0.821887,0.628507,0.713472
15,1,baseline,0.008805,0.366899,0.731208,0.826505,0.628062,0.734345
16,1,baseline,0.010896,0.299111,0.742513,0.841652,0.651337,0.749526
17,1,baseline,0.008367,0.357100,0.736148,0.818569,0.637875,0.734345
18,1,baseline,0.012302,0.380689,0.735494,0.820691,0.650711,0.739089
19,1,baseline,0.008872,0.354538,0.744613,0.830775,0.673963,0.727704
0,2,baseline,0.181006,0.127367,0.573547,0.769546,0.393756,0.507590
1,2,baseline,0.121375,0.134031,0.692383,0.799291,0.586105,0.662239
2,2,baseline,0.079664,0.159887,0.589523,0.830280,0.588791,0.504744
3,2,baseline,0.054790,0.150437,0.720794,0.820817,0.667402,0.685009
4,2,baseline,0.034762,0.195378,0.734818,0.833680,0.697861,0.698292
5,2,baseline,0.024395,0.184415,0.732861,0.829173,0.688979,0.703985
6,2,baseline,0.016899,0.212724,0.749615,0.819896,0.646586,0.750474
