epoch,fold,config,train_loss,val_loss,weighted_f1,roc_auc,kappa,accuracy
0,0,baseline,0.154258,0.123519,0.509167,0.809364,0.507436,0.433106
1,0,baseline,0.104807,0.131618,0.610000,0.836280,0.557828,0.540848
2,0,baseline,0.075863,0.175366,0.657637,0.836999,0.596578,0.605465
3,0,baseline,0.053726,0.203788,0.654738,0.838200,0.567612,0.603900
4,0,baseline,0.038777,0.212975,0.645051,0.831959,0.591982,0.584258
5,0,baseline,0.029740,0.241271,0.608112,0.817670,0.539572,0.544833
6,0,baseline,0.025768,0.310735,0.733143,0.823768,0.639016,0.721748
7,0,baseline,0.022614,0.289753,0.690377,0.812562,0.564010,0.661401
8,0,baseline,0.028876,0.247666,0.682463,0.812302,0.595363,0.646029
9,0,baseline,0.024964,0.285605,0.724793,0.823799,0.645359,0.704099
10,0,baseline,0.025645,0.337720,0.719472,0.819421,0.609073,0.705380
11,0,baseline,0.011722,0.335090,0.736303,0.834743,0.654822,0.721890
12,0,baseline,0.006889,0.361112,0.745566,0.834207,0.654039,0.744236
13,0,baseline,0.007652,0.395520,0.746429,0.828443,0.656794,0.738258
14,0,baseline,0.009040,0.452453,0.751153,0.830460,0.657034,0.755622
15,0,baseline,0.009940,0.403122,0.749319,0.824337,0.653125,0.748506
16,0,baseline,0.009169,0.459121,0.735048,0.822080,0.635907,0.723029
17,0,baseline,0.009800,0.446850,0.754480,0.830666,0.660240,0.756903
18,0,baseline,0.009271,0.498968,0.741226,0.827131,0.645193,0.736835
19,0,baseline,0.010242,0.499011,0.721811,0.824964,0.597515,0.713777
