epoch,fold,config,train_loss,val_loss,weighted_f1,roc_auc,kappa,accuracy
0,0,full_pipeline,0.152544,0.119252,0.415125,0.826967,0.510670,0.346001
1,0,full_pipeline,0.102754,0.121114,0.382899,0.817776,0.517396,0.325221
2,0,full_pipeline,0.074769,0.136783,0.629875,0.826928,0.593403,0.570026
3,0,full_pipeline,0.053099,0.153999,0.575880,0.838336,0.604798,0.498292
4,0,full_pipeline,0.068216,0.135153,0.560495,0.852667,0.573044,0.486052
5,0,full_pipeline,0.043205,0.177423,0.642230,0.844243,0.587960,0.584685
6,0,full_pipeline,0.024139,0.214901,0.650681,0.831905,0.607336,0.593937
7,0,full_pipeline,0.023149,0.248234,0.688244,0.842386,0.626870,0.641475
8,0,full_pipeline,0.032171,0.223951,0.671749,0.840963,0.602405,0.622829
9,0,full_pipeline,0.023680,0.238278,0.718450,0.843421,0.624898,0.689297
10,0,full_pipeline,0.022643,0.228837,0.709655,0.843963,0.644427,0.671506
11,0,full_pipeline,0.024356,0.329427,0.747246,0.835577,0.652855,0.741816
12,0,full_pipeline,0.023950,0.275312,0.743402,0.851794,0.659924,0.722602
13,0,full_pipeline,0.021519,0.273245,0.737905,0.845306,0.690406,0.715201
14,0,full_pipeline,0.020335,0.366671,0.771967,0.844094,0.697119,0.776402
15,0,full_pipeline,0.022951,0.251070,0.750970,0.846807,0.676816,0.739681
16,0,full_pipeline,0.020719,0.349042,0.746137,0.836670,0.639923,0.741816
17,0,full_pipeline,0.019696,0.285961,0.721126,0.844159,0.598777,0.701537
18,0,full_pipeline,0.021301,0.301914,0.750157,0.840459,0.644372,0.744378
19,0,full_pipeline,0.008038,0.389100,0.776647,0.854171,0.707458,0.782664
