epoch,fold,config,train_loss,val_loss,weighted_f1,roc_auc,kappa,accuracy
0,0,D,0.388500,0.248146,0.748144,0.920742,0.857832,0.743520
1,0,D,0.254287,0.227152,0.778098,0.930117,0.865661,0.776262
2,0,D,0.207450,0.325370,0.786798,0.934153,0.881981,0.785812
3,0,D,0.157608,0.276994,0.784949,0.930337,0.881810,0.783083
4,0,D,0.129075,2.002533,0.820571,0.930673,0.903493,0.822647
5,0,D,0.095900,0.312448,0.788683,0.920484,0.892603,0.783083
6,0,D,0.073007,0.301465,0.812011,0.933614,0.895908,0.809004
7,0,D,0.052862,0.418810,0.815076,0.926880,0.884144,0.818554
8,0,D,0.040660,0.480907,0.805959,0.913682,0.895247,0.807640
9,0,D,0.034014,0.374022,0.807981,0.928607,0.904763,0.803547
