SSL pretraining | backbone=resnet50 | method=byol | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_retrain_v1_2.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 0 step 0] loss=3.9527 feat_std=0.0053 lr=0.00001 m=0.99600
  [ep 0 step 50] loss=3.8970 feat_std=0.0053 lr=0.00069 m=0.99600
  [ep 0 step 100] loss=3.7425 feat_std=0.0051 lr=0.00136 m=0.99600
  [ep 0 step 150] loss=3.5305 feat_std=0.0052 lr=0.00203 m=0.99600
  [ep 0 step 200] loss=3.3154 feat_std=0.0053 lr=0.00270 m=0.99600
  [ep 0 step 250] loss=3.0857 feat_std=0.0053 lr=0.00337 m=0.99600
  [ep 0 step 300] loss=2.5886 feat_std=0.0054 lr=0.00405 m=0.99600
  [ep 0 step 350] loss=2.5767 feat_std=0.0056 lr=0.00472 m=0.99600
  [ep 0 step 400] loss=2.2802 feat_std=0.0058 lr=0.00539 m=0.99600
  [ep 0 step 450] loss=2.0014 feat_std=0.0061 lr=0.00606 m=0.99600
  [ep 0 step 500] loss=1.8665 feat_std=0.0061 lr=0.00673 m=0.99600
  [ep 0 step 550] loss=1.8628 feat_std=0.0063 lr=0.00741 m=0.99600
  [ep 1 step 600] loss=1.6934 feat_std=0.0065 lr=0.00808 m=0.99600
  [ep 1 step 650] loss=1.6707 feat_std=0.0068 lr=0.00875 m=0.99600
  [ep 1 step 700] loss=1.6242 feat_std=0.0071 lr=0.00942 m=0.99600
  [ep 1 step 750] loss=1.5921 feat_std=0.0071 lr=0.01009 m=0.99600
  [ep 1 step 800] loss=1.5304 feat_std=0.0070 lr=0.01077 m=0.99600
  [ep 1 step 850] loss=1.5455 feat_std=0.0070 lr=0.01144 m=0.99600
  [ep 1 step 900] loss=1.5883 feat_std=0.0070 lr=0.01211 m=0.99600
  [ep 1 step 950] loss=1.5164 feat_std=0.0070 lr=0.01278 m=0.99600
  [ep 1 step 1000] loss=1.4303 feat_std=0.0073 lr=0.01345 m=0.99600
  [ep 1 step 1050] loss=1.4752 feat_std=0.0073 lr=0.01413 m=0.99600
  [ep 1 step 1100] loss=1.4374 feat_std=0.0074 lr=0.01480 m=0.99600
  [ep 2 step 1150] loss=1.5820 feat_std=0.0074 lr=0.01547 m=0.99600
  [ep 2 step 1200] loss=1.4430 feat_std=0.0076 lr=0.01614 m=0.99600
  [ep 2 step 1250] loss=1.2892 feat_std=0.0075 lr=0.01681 m=0.99600
  [ep 2 step 1300] loss=1.4073 feat_std=0.0074 lr=0.01749 m=0.99600
  [ep 2 step 1350] loss=1.3991 feat_std=0.0074 lr=0.01816 m=0.99600
  [ep 2 step 1400] loss=1.3247 feat_std=0.0074 lr=0.01883 m=0.99600
  [ep 2 step 1450] loss=1.2278 feat_std=0.0078 lr=0.01950 m=0.99600
  [ep 2 step 1500] loss=1.2231 feat_std=0.0080 lr=0.02017 m=0.99600
  [ep 2 step 1550] loss=1.1974 feat_std=0.0076 lr=0.02085 m=0.99600
