SSL pretraining | backbone=resnet50 | method=mocov2 | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_moco_v2_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 0 step 0] loss=4.3574 feat_std=0.0052 lr=0.00000 m=0.99600
  [ep 0 step 50] loss=8.4466 feat_std=0.0051 lr=0.00010 m=0.99600
  [ep 0 step 100] loss=8.9398 feat_std=0.0051 lr=0.00020 m=0.99600
  [ep 0 step 150] loss=8.9761 feat_std=0.0053 lr=0.00030 m=0.99600
  [ep 0 step 200] loss=8.9314 feat_std=0.0054 lr=0.00041 m=0.99600
  [ep 0 step 250] loss=8.9405 feat_std=0.0054 lr=0.00051 m=0.99600
  [ep 0 step 300] loss=9.0411 feat_std=0.0052 lr=0.00061 m=0.99600
  [ep 0 step 350] loss=8.8995 feat_std=0.0052 lr=0.00071 m=0.99600
  [ep 0 step 400] loss=8.8276 feat_std=0.0051 lr=0.00081 m=0.99600
  [ep 0 step 450] loss=8.7928 feat_std=0.0049 lr=0.00091 m=0.99600
  [ep 0 step 500] loss=8.7606 feat_std=0.0052 lr=0.00101 m=0.99600
  [ep 0 step 550] loss=8.7154 feat_std=0.0053 lr=0.00111 m=0.99600
  [ep 1 step 600] loss=8.7670 feat_std=0.0053 lr=0.00121 m=0.99600
  [ep 1 step 650] loss=8.7496 feat_std=0.0052 lr=0.00131 m=0.99600
  [ep 1 step 700] loss=8.7118 feat_std=0.0051 lr=0.00141 m=0.99600
  [ep 1 step 750] loss=8.7151 feat_std=0.0052 lr=0.00151 m=0.99600
  [ep 1 step 800] loss=8.6992 feat_std=0.0050 lr=0.00161 m=0.99600
  [ep 1 step 850] loss=8.7131 feat_std=0.0049 lr=0.00172 m=0.99600
  [ep 1 step 900] loss=8.6829 feat_std=0.0052 lr=0.00182 m=0.99600
  [ep 1 step 950] loss=8.6396 feat_std=0.0052 lr=0.00192 m=0.99600
  [ep 1 step 1000] loss=8.6493 feat_std=0.0052 lr=0.00202 m=0.99600
  [ep 1 step 1050] loss=8.6635 feat_std=0.0053 lr=0.00212 m=0.99600
  [ep 1 step 1100] loss=8.6911 feat_std=0.0050 lr=0.00222 m=0.99600
  [ep 2 step 1150] loss=8.5822 feat_std=0.0050 lr=0.00232 m=0.99600
  [ep 2 step 1200] loss=8.6293 feat_std=0.0053 lr=0.00242 m=0.99600
  [ep 2 step 1250] loss=8.7556 feat_std=0.0051 lr=0.00252 m=0.99600
  [ep 2 step 1300] loss=8.7217 feat_std=0.0052 lr=0.00262 m=0.99600
  [ep 2 step 1350] loss=8.6555 feat_std=0.0051 lr=0.00272 m=0.99600
  [ep 2 step 1400] loss=8.6315 feat_std=0.0052 lr=0.00282 m=0.99600
  [ep 2 step 1450] loss=8.6149 feat_std=0.0048 lr=0.00293 m=0.99600
  [ep 2 step 1500] loss=8.6524 feat_std=0.0050 lr=0.00303 m=0.99600
  [ep 2 step 1550] loss=8.6051 feat_std=0.0049 lr=0.00313 m=0.99600
  [ep 2 step 1600] loss=8.6781 feat_std=0.0050 lr=0.00323 m=0.99600
  [ep 2 step 1650] loss=8.6205 feat_std=0.0051 lr=0.00333 m=0.99600
  [ep 3 step 1700] loss=8.6043 feat_std=0.0049 lr=0.00343 m=0.99600
  [ep 3 step 1750] loss=8.5029 feat_std=0.0052 lr=0.00353 m=0.99600
  [ep 3 step 1800] loss=8.5673 feat_std=0.0051 lr=0.00363 m=0.99600
  [ep 3 step 1850] loss=8.5072 feat_std=0.0051 lr=0.00373 m=0.99600
  [ep 3 step 1900] loss=8.4793 feat_std=0.0053 lr=0.00383 m=0.99600
  [ep 3 step 1950] loss=8.4333 feat_std=0.0052 lr=0.00393 m=0.99600
  [ep 3 step 2000] loss=8.4427 feat_std=0.0052 lr=0.00403 m=0.99600
  [ep 3 step 2050] loss=8.5802 feat_std=0.0051 lr=0.00414 m=0.99600
  [ep 3 step 2100] loss=8.4672 feat_std=0.0052 lr=0.00424 m=0.99600
  [ep 3 step 2150] loss=8.4595 feat_std=0.0050 lr=0.00434 m=0.99600
  [ep 3 step 2200] loss=8.4546 feat_std=0.0053 lr=0.00444 m=0.99600
  [ep 4 step 2250] loss=8.3815 feat_std=0.0051 lr=0.00454 m=0.99600
  [ep 4 step 2300] loss=8.3353 feat_std=0.0053 lr=0.00464 m=0.99600
  [ep 4 step 2350] loss=8.3002 feat_std=0.0054 lr=0.00474 m=0.99600
  [ep 4 step 2400] loss=8.4022 feat_std=0.0055 lr=0.00484 m=0.99600
  [ep 4 step 2450] loss=8.3100 feat_std=0.0053 lr=0.00494 m=0.99600
  [ep 4 step 2500] loss=8.3261 feat_std=0.0053 lr=0.00504 m=0.99600
  [ep 4 step 2550] loss=8.3089 feat_std=0.0053 lr=0.00514 m=0.99600
  [ep 4 step 2600] loss=8.1980 feat_std=0.0053 lr=0.00524 m=0.99600
  [ep 4 step 2650] loss=8.4411 feat_std=0.0052 lr=0.00534 m=0.99600
  [ep 4 step 2700] loss=8.2530 feat_std=0.0054 lr=0.00545 m=0.99600
  [ep 4 step 2750] loss=8.2116 feat_std=0.0052 lr=0.00555 m=0.99600
  [ep 5 step 2800] loss=8.1523 feat_std=0.0053 lr=0.00565 m=0.99600
  [ep 5 step 2850] loss=8.1628 feat_std=0.0053 lr=0.00575 m=0.99600
  [ep 5 step 2900] loss=8.1462 feat_std=0.0050 lr=0.00585 m=0.99600
  [ep 5 step 2950] loss=7.9947 feat_std=0.0054 lr=0.00595 m=0.99600
  [ep 5 step 3000] loss=8.1516 feat_std=0.0056 lr=0.00605 m=0.99600
  [ep 5 step 3050] loss=8.1239 feat_std=0.0056 lr=0.00615 m=0.99600
  [ep 5 step 3100] loss=8.1504 feat_std=0.0054 lr=0.00625 m=0.99600
  [ep 5 step 3150] loss=8.0330 feat_std=0.0055 lr=0.00635 m=0.99600
  [ep 5 step 3200] loss=8.1003 feat_std=0.0057 lr=0.00645 m=0.99600
  [ep 5 step 3250] loss=8.0324 feat_std=0.0055 lr=0.00655 m=0.99600
  [ep 5 step 3300] loss=8.0080 feat_std=0.0056 lr=0.00666 m=0.99600
  [ep 6 step 3350] loss=8.0019 feat_std=0.0059 lr=0.00676 m=0.99600
  [ep 6 step 3400] loss=7.9225 feat_std=0.0058 lr=0.00686 m=0.99600
  [ep 6 step 3450] loss=8.0014 feat_std=0.0059 lr=0.00696 m=0.99600
  [ep 6 step 3500] loss=8.1106 feat_std=0.0059 lr=0.00706 m=0.99600
  [ep 6 step 3550] loss=7.8368 feat_std=0.0059 lr=0.00716 m=0.99600
  [ep 6 step 3600] loss=8.0632 feat_std=0.0059 lr=0.00726 m=0.99600
  [ep 6 step 3650] loss=7.8570 feat_std=0.0058 lr=0.00736 m=0.99600
  [ep 6 step 3700] loss=7.9231 feat_std=0.0061 lr=0.00746 m=0.99600
  [ep 6 step 3750] loss=7.7667 feat_std=0.0059 lr=0.00756 m=0.99600
  [ep 6 step 3800] loss=7.8358 feat_std=0.0059 lr=0.00766 m=0.99601
  [ep 6 step 3850] loss=7.9601 feat_std=0.0059 lr=0.00776 m=0.99601
  [ep 6 step 3900] loss=7.6926 feat_std=0.0061 lr=0.00786 m=0.99601
  [ep 7 step 3950] loss=7.8056 feat_std=0.0063 lr=0.00797 m=0.99601
  [ep 7 step 4000] loss=7.7837 feat_std=0.0059 lr=0.00807 m=0.99601
  [ep 7 step 4050] loss=7.7431 feat_std=0.0063 lr=0.00817 m=0.99601
  [ep 7 step 4100] loss=7.7121 feat_std=0.0063 lr=0.00827 m=0.99601
  [ep 7 step 4150] loss=7.5799 feat_std=0.0066 lr=0.00837 m=0.99601
  [ep 7 step 4200] loss=7.7667 feat_std=0.0067 lr=0.00847 m=0.99601
