SSL pretraining | backbone=efficientnet_b3 | method=mocov2 | epochs=50
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_continual_v4_0.yaml', 'configs/ssl_continual_v4_0_eff.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=False | feature_dim=1536
  [ep 0 step 0] loss=5.8218 feat_std=0.0219 lr=0.00000 m=0.99600
  [ep 0 step 50] loss=7.0450 feat_std=0.0217 lr=0.00000 m=0.99600
  [ep 0 step 100] loss=7.4375 feat_std=0.0216 lr=0.00001 m=0.99600
  [ep 0 step 150] loss=7.9021 feat_std=0.0219 lr=0.00001 m=0.99600
  [ep 0 step 200] loss=8.1174 feat_std=0.0217 lr=0.00002 m=0.99600
  [ep 0 step 250] loss=8.3565 feat_std=0.0219 lr=0.00002 m=0.99600
  [ep 0 step 300] loss=8.3673 feat_std=0.0218 lr=0.00002 m=0.99600
  [ep 0 step 350] loss=8.2466 feat_std=0.0218 lr=0.00003 m=0.99600
  [ep 0 step 400] loss=8.4569 feat_std=0.0217 lr=0.00003 m=0.99600
  [ep 0 step 450] loss=8.2828 feat_std=0.0217 lr=0.00003 m=0.99600
  [ep 0 step 500] loss=8.2801 feat_std=0.0217 lr=0.00004 m=0.99600
  [ep 0 step 550] loss=8.4527 feat_std=0.0219 lr=0.00004 m=0.99600
  [ep 0 step 600] loss=8.2809 feat_std=0.0218 lr=0.00004 m=0.99600
  [ep 0 step 650] loss=8.3060 feat_std=0.0218 lr=0.00005 m=0.99600
  [ep 0 step 700] loss=8.1822 feat_std=0.0218 lr=0.00005 m=0.99600
  [ep 0 step 750] loss=8.2891 feat_std=0.0218 lr=0.00006 m=0.99600
  [ep 0 step 800] loss=8.1538 feat_std=0.0219 lr=0.00006 m=0.99600
  [ep 0 step 850] loss=8.1640 feat_std=0.0219 lr=0.00006 m=0.99600
  [ep 0 step 900] loss=8.1894 feat_std=0.0219 lr=0.00007 m=0.99600
  [ep 0 step 950] loss=7.9882 feat_std=0.0218 lr=0.00007 m=0.99600
  [ep 0 step 1000] loss=8.1270 feat_std=0.0218 lr=0.00007 m=0.99600
  [ep 0 step 1050] loss=8.0801 feat_std=0.0219 lr=0.00008 m=0.99600
  [ep 0 step 1100] loss=8.0976 feat_std=0.0219 lr=0.00008 m=0.99600
  [ep 0 step 1150] loss=7.7930 feat_std=0.0220 lr=0.00009 m=0.99600
  [ep 0 step 1200] loss=7.6851 feat_std=0.0218 lr=0.00009 m=0.99600
  [ep 0 step 1250] loss=7.8216 feat_std=0.0220 lr=0.00009 m=0.99600
  [ep 0 step 1300] loss=7.8359 feat_std=0.0217 lr=0.00010 m=0.99600
  [ep 0 step 1350] loss=7.9506 feat_std=0.0219 lr=0.00010 m=0.99600
  [ep 0 step 1400] loss=7.8991 feat_std=0.0217 lr=0.00010 m=0.99600
  [ep 0 step 1450] loss=7.6011 feat_std=0.0219 lr=0.00011 m=0.99600
  [ep 0 step 1500] loss=7.6614 feat_std=0.0219 lr=0.00011 m=0.99600
  [ep 0 step 1550] loss=7.5532 feat_std=0.0218 lr=0.00012 m=0.99600
  [ep 0 step 1600] loss=7.5212 feat_std=0.0217 lr=0.00012 m=0.99600
  [ep 0 step 1650] loss=7.5967 feat_std=0.0217 lr=0.00012 m=0.99600
  [ep 1 step 1700] loss=7.3968 feat_std=0.0219 lr=0.00013 m=0.99600
  [ep 1 step 1750] loss=7.6350 feat_std=0.0219 lr=0.00013 m=0.99600
  [ep 1 step 1800] loss=7.7170 feat_std=0.0216 lr=0.00013 m=0.99600
  [ep 1 step 1850] loss=7.6414 feat_std=0.0219 lr=0.00014 m=0.99600
  [ep 1 step 1900] loss=7.5228 feat_std=0.0220 lr=0.00014 m=0.99601
  [ep 1 step 1950] loss=7.5445 feat_std=0.0220 lr=0.00015 m=0.99601
  [ep 1 step 2000] loss=7.2458 feat_std=0.0220 lr=0.00015 m=0.99601
  [ep 1 step 2050] loss=7.2883 feat_std=0.0217 lr=0.00015 m=0.99601
  [ep 1 step 2100] loss=7.3929 feat_std=0.0216 lr=0.00016 m=0.99601
  [ep 1 step 2150] loss=7.4226 feat_std=0.0217 lr=0.00016 m=0.99601
  [ep 1 step 2200] loss=7.5227 feat_std=0.0217 lr=0.00016 m=0.99601
  [ep 1 step 2250] loss=7.5018 feat_std=0.0217 lr=0.00017 m=0.99601
  [ep 1 step 2300] loss=7.4660 feat_std=0.0215 lr=0.00017 m=0.99601
  [ep 1 step 2350] loss=7.4551 feat_std=0.0218 lr=0.00018 m=0.99601
  [ep 1 step 2400] loss=7.4655 feat_std=0.0219 lr=0.00018 m=0.99601
  [ep 1 step 2450] loss=7.5001 feat_std=0.0220 lr=0.00018 m=0.99601
  [ep 1 step 2500] loss=7.2746 feat_std=0.0218 lr=0.00019 m=0.99601
  [ep 1 step 2550] loss=7.6946 feat_std=0.0216 lr=0.00019 m=0.99601
  [ep 1 step 2600] loss=7.2890 feat_std=0.0220 lr=0.00019 m=0.99601
  [ep 1 step 2650] loss=7.6306 feat_std=0.0219 lr=0.00020 m=0.99601
  [ep 1 step 2700] loss=7.2004 feat_std=0.0220 lr=0.00020 m=0.99601
  [ep 1 step 2750] loss=7.4021 feat_std=0.0218 lr=0.00021 m=0.99601
  [ep 1 step 2800] loss=7.2693 feat_std=0.0218 lr=0.00021 m=0.99601
  [ep 1 step 2850] loss=7.2108 feat_std=0.0217 lr=0.00021 m=0.99601
  [ep 1 step 2900] loss=7.4219 feat_std=0.0217 lr=0.00022 m=0.99601
  [ep 1 step 2950] loss=7.3401 feat_std=0.0219 lr=0.00022 m=0.99601
  [ep 1 step 3000] loss=7.2125 feat_std=0.0217 lr=0.00022 m=0.99601
  [ep 1 step 3050] loss=7.3388 feat_std=0.0220 lr=0.00023 m=0.99601
  [ep 1 step 3100] loss=7.2462 feat_std=0.0216 lr=0.00023 m=0.99601
  [ep 1 step 3150] loss=7.1921 feat_std=0.0216 lr=0.00024 m=0.99601
  [ep 1 step 3200] loss=7.0413 feat_std=0.0218 lr=0.00024 m=0.99601
  [ep 1 step 3250] loss=7.2029 feat_std=0.0216 lr=0.00024 m=0.99601
  [ep 1 step 3300] loss=7.1067 feat_std=0.0219 lr=0.00025 m=0.99602
  [ep 2 step 3350] loss=7.3814 feat_std=0.0215 lr=0.00025 m=0.99602
  [ep 2 step 3400] loss=7.2147 feat_std=0.0216 lr=0.00025 m=0.99602
  [ep 2 step 3450] loss=7.0945 feat_std=0.0217 lr=0.00026 m=0.99602
  [ep 2 step 3500] loss=7.1572 feat_std=0.0217 lr=0.00026 m=0.99602
  [ep 2 step 3550] loss=7.0322 feat_std=0.0217 lr=0.00027 m=0.99602
  [ep 2 step 3600] loss=7.1719 feat_std=0.0220 lr=0.00027 m=0.99602
  [ep 2 step 3650] loss=6.9940 feat_std=0.0218 lr=0.00027 m=0.99602
  [ep 2 step 3700] loss=7.0169 feat_std=0.0217 lr=0.00028 m=0.99602
  [ep 2 step 3750] loss=7.1040 feat_std=0.0218 lr=0.00028 m=0.99602
  [ep 2 step 3800] loss=7.0316 feat_std=0.0216 lr=0.00028 m=0.99602
