SSL pretraining | backbone=resnet50 | method=dino | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_dino_v3_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 0 step 0] loss=10.3583 feat_std=0.0053 lr=0.00000 m=0.99600
  [ep 0 step 50] loss=11.2516 feat_std=0.0052 lr=0.00000 m=0.99600
  [ep 0 step 100] loss=11.1849 feat_std=0.0059 lr=0.00000 m=0.99600
  [ep 0 step 150] loss=11.2196 feat_std=0.0057 lr=0.00001 m=0.99600
  [ep 0 step 200] loss=11.1435 feat_std=0.0060 lr=0.00001 m=0.99600
  [ep 0 step 250] loss=11.0963 feat_std=0.0061 lr=0.00001 m=0.99600
  [ep 0 step 300] loss=11.0251 feat_std=0.0061 lr=0.00001 m=0.99600
  [ep 0 step 350] loss=11.0233 feat_std=0.0061 lr=0.00001 m=0.99600
  [ep 0 step 400] loss=10.8922 feat_std=0.0063 lr=0.00001 m=0.99600
  [ep 0 step 450] loss=10.8408 feat_std=0.0066 lr=0.00002 m=0.99600
  [ep 0 step 500] loss=10.7600 feat_std=0.0068 lr=0.00002 m=0.99600
  [ep 0 step 550] loss=10.4908 feat_std=0.0068 lr=0.00002 m=0.99600
  [ep 1 step 600] loss=10.4589 feat_std=0.0071 lr=0.00002 m=0.99600
  [ep 1 step 650] loss=10.2731 feat_std=0.0069 lr=0.00002 m=0.99600
  [ep 1 step 700] loss=10.2164 feat_std=0.0071 lr=0.00002 m=0.99600
  [ep 1 step 750] loss=9.6054 feat_std=0.0071 lr=0.00003 m=0.99600
  [ep 1 step 800] loss=9.5249 feat_std=0.0068 lr=0.00003 m=0.99600
  [ep 1 step 850] loss=9.0578 feat_std=0.0070 lr=0.00003 m=0.99600
  [ep 1 step 900] loss=8.7277 feat_std=0.0069 lr=0.00003 m=0.99600
  [ep 1 step 950] loss=8.9920 feat_std=0.0073 lr=0.00003 m=0.99600
  [ep 1 step 1000] loss=9.0936 feat_std=0.0072 lr=0.00003 m=0.99600
  [ep 1 step 1050] loss=9.1228 feat_std=0.0075 lr=0.00004 m=0.99600
  [ep 1 step 1100] loss=9.3853 feat_std=0.0073 lr=0.00004 m=0.99600
  [ep 2 step 1150] loss=9.4883 feat_std=0.0075 lr=0.00004 m=0.99600
  [ep 2 step 1200] loss=9.5102 feat_std=0.0079 lr=0.00004 m=0.99600
  [ep 2 step 1250] loss=9.5656 feat_std=0.0077 lr=0.00004 m=0.99600
  [ep 2 step 1300] loss=9.5421 feat_std=0.0081 lr=0.00004 m=0.99600
  [ep 2 step 1350] loss=9.3867 feat_std=0.0078 lr=0.00005 m=0.99600
  [ep 2 step 1400] loss=9.4440 feat_std=0.0084 lr=0.00005 m=0.99600
  [ep 2 step 1450] loss=9.3547 feat_std=0.0086 lr=0.00005 m=0.99600
  [ep 2 step 1500] loss=9.3821 feat_std=0.0083 lr=0.00005 m=0.99600
  [ep 2 step 1550] loss=9.2233 feat_std=0.0090 lr=0.00005 m=0.99600
  [ep 2 step 1600] loss=9.1969 feat_std=0.0089 lr=0.00005 m=0.99600
  [ep 2 step 1650] loss=9.0627 feat_std=0.0088 lr=0.00006 m=0.99600
  [ep 3 step 1700] loss=9.1878 feat_std=0.0091 lr=0.00006 m=0.99600
  [ep 3 step 1750] loss=8.8425 feat_std=0.0093 lr=0.00006 m=0.99600
  [ep 3 step 1800] loss=8.8177 feat_std=0.0092 lr=0.00006 m=0.99600
  [ep 3 step 1850] loss=8.8502 feat_std=0.0093 lr=0.00006 m=0.99600
  [ep 3 step 1900] loss=8.4816 feat_std=0.0099 lr=0.00006 m=0.99600
  [ep 3 step 1950] loss=8.3529 feat_std=0.0099 lr=0.00007 m=0.99600
  [ep 3 step 2000] loss=8.4117 feat_std=0.0096 lr=0.00007 m=0.99600
  [ep 3 step 2050] loss=8.0234 feat_std=0.0099 lr=0.00007 m=0.99600
  [ep 3 step 2100] loss=7.7672 feat_std=0.0100 lr=0.00007 m=0.99600
  [ep 3 step 2150] loss=7.6931 feat_std=0.0099 lr=0.00007 m=0.99600
  [ep 3 step 2200] loss=7.3696 feat_std=0.0098 lr=0.00007 m=0.99600
  [ep 4 step 2250] loss=7.0273 feat_std=0.0101 lr=0.00008 m=0.99600
  [ep 4 step 2300] loss=6.6700 feat_std=0.0103 lr=0.00008 m=0.99600
  [ep 4 step 2350] loss=6.6089 feat_std=0.0101 lr=0.00008 m=0.99600
  [ep 4 step 2400] loss=6.8309 feat_std=0.0101 lr=0.00008 m=0.99600
  [ep 4 step 2450] loss=6.5118 feat_std=0.0100 lr=0.00008 m=0.99600
  [ep 4 step 2500] loss=6.1933 feat_std=0.0105 lr=0.00008 m=0.99600
  [ep 4 step 2550] loss=6.1287 feat_std=0.0102 lr=0.00009 m=0.99600
  [ep 4 step 2600] loss=6.0770 feat_std=0.0104 lr=0.00009 m=0.99600
  [ep 4 step 2650] loss=5.8369 feat_std=0.0104 lr=0.00009 m=0.99600
  [ep 4 step 2700] loss=5.7091 feat_std=0.0109 lr=0.00009 m=0.99600
  [ep 4 step 2750] loss=5.5999 feat_std=0.0108 lr=0.00009 m=0.99600
