SSL pretraining | backbone=resnet50 | method=dino | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_dino_v3_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  --resume: restored resnet50 at epoch 77/300 (global_step=42966).
  [ep 77 step 43000] loss=1.0314 feat_std=0.0128 lr=0.00016 m=0.99662
  [ep 77 step 43050] loss=0.9910 feat_std=0.0127 lr=0.00016 m=0.99662
  [ep 77 step 43100] loss=0.9977 feat_std=0.0129 lr=0.00016 m=0.99662
  [ep 77 step 43150] loss=1.0071 feat_std=0.0130 lr=0.00016 m=0.99662
  [ep 77 step 43200] loss=0.9681 feat_std=0.0128 lr=0.00016 m=0.99662
  [ep 77 step 43250] loss=1.0065 feat_std=0.0127 lr=0.00016 m=0.99662
  [ep 77 step 43300] loss=0.9477 feat_std=0.0126 lr=0.00016 m=0.99662
  [ep 77 step 43350] loss=0.9938 feat_std=0.0126 lr=0.00016 m=0.99663
  [ep 77 step 43400] loss=0.9760 feat_std=0.0129 lr=0.00016 m=0.99663
  [ep 77 step 43450] loss=1.0431 feat_std=0.0129 lr=0.00016 m=0.99663
  [ep 77 step 43500] loss=0.9850 feat_std=0.0127 lr=0.00016 m=0.99663
  [ep 78 step 43550] loss=0.9727 feat_std=0.0128 lr=0.00016 m=0.99663
  [ep 78 step 43600] loss=1.0525 feat_std=0.0127 lr=0.00016 m=0.99663
  [ep 78 step 43650] loss=1.0729 feat_std=0.0129 lr=0.00016 m=0.99663
  [ep 78 step 43700] loss=1.0652 feat_std=0.0129 lr=0.00016 m=0.99664
  [ep 78 step 43750] loss=1.0719 feat_std=0.0126 lr=0.00016 m=0.99664
  [ep 78 step 43800] loss=1.0744 feat_std=0.0128 lr=0.00016 m=0.99664
  [ep 78 step 43850] loss=0.9983 feat_std=0.0129 lr=0.00016 m=0.99664
  [ep 78 step 43900] loss=1.0367 feat_std=0.0127 lr=0.00016 m=0.99664
  [ep 78 step 43950] loss=0.9745 feat_std=0.0129 lr=0.00016 m=0.99664
  [ep 78 step 44000] loss=1.0900 feat_std=0.0129 lr=0.00016 m=0.99664
  [ep 78 step 44050] loss=1.0234 feat_std=0.0128 lr=0.00016 m=0.99665
  [ep 79 step 44100] loss=1.1374 feat_std=0.0129 lr=0.00016 m=0.99665
  [ep 79 step 44150] loss=0.9810 feat_std=0.0126 lr=0.00016 m=0.99665
  [ep 79 step 44200] loss=0.8735 feat_std=0.0128 lr=0.00016 m=0.99665
  [ep 79 step 44250] loss=1.0074 feat_std=0.0128 lr=0.00016 m=0.99665
  [ep 79 step 44300] loss=0.9477 feat_std=0.0128 lr=0.00016 m=0.99665
  [ep 79 step 44350] loss=0.9123 feat_std=0.0130 lr=0.00016 m=0.99665
  [ep 79 step 44400] loss=1.1029 feat_std=0.0128 lr=0.00016 m=0.99666
  [ep 79 step 44450] loss=0.9913 feat_std=0.0130 lr=0.00016 m=0.99666
  [ep 79 step 44500] loss=0.9607 feat_std=0.0131 lr=0.00016 m=0.99666
  [ep 79 step 44550] loss=1.0125 feat_std=0.0126 lr=0.00016 m=0.99666
  [ep 79 step 44600] loss=0.8674 feat_std=0.0128 lr=0.00016 m=0.99666
  [ep 80 step 44650] loss=0.9396 feat_std=0.0127 lr=0.00016 m=0.99666
  [ep 80 step 44700] loss=1.0618 feat_std=0.0126 lr=0.00016 m=0.99666
  [ep 80 step 44750] loss=1.0458 feat_std=0.0128 lr=0.00016 m=0.99666
  [ep 80 step 44800] loss=0.9935 feat_std=0.0128 lr=0.00016 m=0.99667
  [ep 80 step 44850] loss=0.9471 feat_std=0.0130 lr=0.00016 m=0.99667
  [ep 80 step 44900] loss=0.9471 feat_std=0.0130 lr=0.00016 m=0.99667
  [ep 80 step 44950] loss=0.8685 feat_std=0.0130 lr=0.00016 m=0.99667
  [ep 80 step 45000] loss=0.9827 feat_std=0.0128 lr=0.00016 m=0.99667
  [ep 80 step 45050] loss=1.0427 feat_std=0.0129 lr=0.00016 m=0.99667
  [ep 80 step 45100] loss=1.0033 feat_std=0.0129 lr=0.00016 m=0.99667
  [ep 80 step 45150] loss=1.0619 feat_std=0.0127 lr=0.00016 m=0.99668
  [ep 81 step 45200] loss=0.9233 feat_std=0.0128 lr=0.00016 m=0.99668
  [ep 81 step 45250] loss=0.9345 feat_std=0.0130 lr=0.00016 m=0.99668
  [ep 81 step 45300] loss=0.9938 feat_std=0.0128 lr=0.00016 m=0.99668
  [ep 81 step 45350] loss=1.1123 feat_std=0.0129 lr=0.00016 m=0.99668
  [ep 81 step 45400] loss=0.9363 feat_std=0.0126 lr=0.00016 m=0.99668
  [ep 81 step 45450] loss=0.8598 feat_std=0.0130 lr=0.00016 m=0.99668
  [ep 81 step 45500] loss=1.0359 feat_std=0.0128 lr=0.00016 m=0.99669
  [ep 81 step 45550] loss=0.9854 feat_std=0.0126 lr=0.00016 m=0.99669
  [ep 81 step 45600] loss=1.0377 feat_std=0.0130 lr=0.00016 m=0.99669
  [ep 81 step 45650] loss=0.9210 feat_std=0.0129 lr=0.00016 m=0.99669
  [ep 81 step 45700] loss=1.0474 feat_std=0.0129 lr=0.00016 m=0.99669
