SSL pretraining | backbone=resnet50 | method=mocov2 | epochs=50
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_continual_v4_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 0 step 0] loss=5.7636 feat_std=0.0174 lr=0.00000 m=0.99600
  [ep 0 step 50] loss=8.0177 feat_std=0.0173 lr=0.00003 m=0.99600
  [ep 0 step 100] loss=8.5960 feat_std=0.0170 lr=0.00007 m=0.99600
  [ep 0 step 150] loss=8.3774 feat_std=0.0174 lr=0.00010 m=0.99600
  [ep 0 step 200] loss=8.1984 feat_std=0.0173 lr=0.00014 m=0.99600
  [ep 0 step 250] loss=8.2684 feat_std=0.0174 lr=0.00017 m=0.99600
  [ep 0 step 300] loss=8.1698 feat_std=0.0173 lr=0.00020 m=0.99600
  [ep 0 step 350] loss=8.0475 feat_std=0.0174 lr=0.00024 m=0.99600
  [ep 0 step 400] loss=8.0656 feat_std=0.0172 lr=0.00027 m=0.99600
  [ep 0 step 450] loss=7.9307 feat_std=0.0173 lr=0.00030 m=0.99600
  [ep 0 step 500] loss=7.8750 feat_std=0.0173 lr=0.00034 m=0.99600
  [ep 0 step 550] loss=7.9131 feat_std=0.0173 lr=0.00037 m=0.99600
  [ep 1 step 600] loss=7.9150 feat_std=0.0174 lr=0.00040 m=0.99600
  [ep 1 step 650] loss=7.7944 feat_std=0.0172 lr=0.00044 m=0.99601
  [ep 1 step 700] loss=7.6821 feat_std=0.0171 lr=0.00047 m=0.99601
  [ep 1 step 750] loss=7.6525 feat_std=0.0172 lr=0.00050 m=0.99601
  [ep 1 step 800] loss=7.5600 feat_std=0.0172 lr=0.00054 m=0.99601
  [ep 1 step 850] loss=7.7214 feat_std=0.0172 lr=0.00057 m=0.99601
  [ep 1 step 900] loss=7.5406 feat_std=0.0172 lr=0.00061 m=0.99601
  [ep 1 step 950] loss=7.3439 feat_std=0.0173 lr=0.00064 m=0.99601
  [ep 1 step 1000] loss=7.4968 feat_std=0.0171 lr=0.00067 m=0.99601
  [ep 1 step 1050] loss=7.4129 feat_std=0.0172 lr=0.00071 m=0.99601
  [ep 1 step 1100] loss=7.3313 feat_std=0.0171 lr=0.00074 m=0.99602
  [ep 2 step 1150] loss=7.0709 feat_std=0.0171 lr=0.00077 m=0.99602
  [ep 2 step 1200] loss=7.2758 feat_std=0.0171 lr=0.00081 m=0.99602
  [ep 2 step 1250] loss=7.0906 feat_std=0.0170 lr=0.00084 m=0.99602
  [ep 2 step 1300] loss=7.1485 feat_std=0.0170 lr=0.00087 m=0.99602
  [ep 2 step 1350] loss=7.0409 feat_std=0.0170 lr=0.00091 m=0.99602
  [ep 2 step 1400] loss=6.8766 feat_std=0.0170 lr=0.00094 m=0.99602
  [ep 2 step 1450] loss=6.9749 feat_std=0.0170 lr=0.00098 m=0.99603
  [ep 2 step 1500] loss=6.9000 feat_std=0.0169 lr=0.00101 m=0.99603
  [ep 2 step 1550] loss=6.8574 feat_std=0.0170 lr=0.00104 m=0.99603
  [ep 2 step 1600] loss=6.8186 feat_std=0.0170 lr=0.00108 m=0.99603
  [ep 2 step 1650] loss=6.7467 feat_std=0.0169 lr=0.00111 m=0.99603
  [ep 3 step 1700] loss=6.6183 feat_std=0.0170 lr=0.00112 m=0.99604
  [ep 3 step 1750] loss=6.7052 feat_std=0.0170 lr=0.00112 m=0.99604
  [ep 3 step 1800] loss=6.7379 feat_std=0.0168 lr=0.00112 m=0.99604
  [ep 3 step 1850] loss=6.5050 feat_std=0.0169 lr=0.00112 m=0.99604
  [ep 3 step 1900] loss=6.5711 feat_std=0.0167 lr=0.00112 m=0.99605
  [ep 3 step 1950] loss=6.3665 feat_std=0.0168 lr=0.00112 m=0.99605
  [ep 3 step 2000] loss=6.3763 feat_std=0.0168 lr=0.00112 m=0.99605
  [ep 3 step 2050] loss=6.3988 feat_std=0.0167 lr=0.00112 m=0.99605
  [ep 3 step 2100] loss=6.4593 feat_std=0.0167 lr=0.00112 m=0.99606
  [ep 3 step 2150] loss=6.3340 feat_std=0.0166 lr=0.00112 m=0.99606
  [ep 3 step 2200] loss=6.3962 feat_std=0.0168 lr=0.00112 m=0.99606
  [ep 4 step 2250] loss=6.1934 feat_std=0.0166 lr=0.00112 m=0.99606
  [ep 4 step 2300] loss=6.3451 feat_std=0.0167 lr=0.00112 m=0.99607
  [ep 4 step 2350] loss=6.2205 feat_std=0.0167 lr=0.00112 m=0.99607
  [ep 4 step 2400] loss=6.1524 feat_std=0.0166 lr=0.00112 m=0.99607
  [ep 4 step 2450] loss=6.2419 feat_std=0.0166 lr=0.00112 m=0.99608
  [ep 4 step 2500] loss=6.0527 feat_std=0.0165 lr=0.00112 m=0.99608
  [ep 4 step 2550] loss=6.2237 feat_std=0.0166 lr=0.00112 m=0.99608
  [ep 4 step 2600] loss=6.0585 feat_std=0.0166 lr=0.00112 m=0.99609
  [ep 4 step 2650] loss=6.1939 feat_std=0.0165 lr=0.00112 m=0.99609
  [ep 4 step 2700] loss=6.0616 feat_std=0.0165 lr=0.00112 m=0.99609
  [ep 4 step 2750] loss=5.9675 feat_std=0.0166 lr=0.00112 m=0.99610
  [ep 5 step 2800] loss=5.9909 feat_std=0.0165 lr=0.00112 m=0.99610
  [ep 5 step 2850] loss=5.8564 feat_std=0.0166 lr=0.00112 m=0.99610
  [ep 5 step 2900] loss=5.9279 feat_std=0.0164 lr=0.00112 m=0.99611
  [ep 5 step 2950] loss=5.9250 feat_std=0.0165 lr=0.00112 m=0.99611
  [ep 5 step 3000] loss=5.8756 feat_std=0.0163 lr=0.00112 m=0.99611
  [ep 5 step 3050] loss=5.8589 feat_std=0.0164 lr=0.00112 m=0.99612
  [ep 5 step 3100] loss=5.8855 feat_std=0.0162 lr=0.00112 m=0.99612
  [ep 5 step 3150] loss=5.7800 feat_std=0.0163 lr=0.00112 m=0.99612
  [ep 5 step 3200] loss=5.8115 feat_std=0.0163 lr=0.00112 m=0.99613
  [ep 5 step 3250] loss=5.8805 feat_std=0.0162 lr=0.00112 m=0.99613
  [ep 5 step 3300] loss=5.8161 feat_std=0.0162 lr=0.00111 m=0.99614
  [ep 6 step 3350] loss=5.8096 feat_std=0.0162 lr=0.00111 m=0.99614
  [ep 6 step 3400] loss=5.7607 feat_std=0.0163 lr=0.00111 m=0.99614
  [ep 6 step 3450] loss=5.7148 feat_std=0.0161 lr=0.00111 m=0.99615
  [ep 6 step 3500] loss=5.6586 feat_std=0.0164 lr=0.00111 m=0.99615
  [ep 6 step 3550] loss=5.6260 feat_std=0.0162 lr=0.00111 m=0.99616
  [ep 6 step 3600] loss=5.7095 feat_std=0.0161 lr=0.00111 m=0.99616
  [ep 6 step 3650] loss=5.6569 feat_std=0.0164 lr=0.00111 m=0.99617
  [ep 6 step 3700] loss=5.7131 feat_std=0.0163 lr=0.00111 m=0.99617
  [ep 6 step 3750] loss=5.6162 feat_std=0.0161 lr=0.00111 m=0.99618
  [ep 6 step 3800] loss=5.6289 feat_std=0.0161 lr=0.00111 m=0.99618
  [ep 6 step 3850] loss=5.5521 feat_std=0.0162 lr=0.00111 m=0.99619
  [ep 6 step 3900] loss=5.5601 feat_std=0.0159 lr=0.00111 m=0.99619
  [ep 7 step 3950] loss=5.5649 feat_std=0.0161 lr=0.00110 m=0.99619
  [ep 7 step 4000] loss=5.4934 feat_std=0.0160 lr=0.00110 m=0.99620
  [ep 7 step 4050] loss=5.5195 feat_std=0.0160 lr=0.00110 m=0.99620
  [ep 7 step 4100] loss=5.5251 feat_std=0.0161 lr=0.00110 m=0.99621
  [ep 7 step 4150] loss=5.4738 feat_std=0.0161 lr=0.00110 m=0.99621
  [ep 7 step 4200] loss=5.5029 feat_std=0.0159 lr=0.00110 m=0.99622
  [ep 7 step 4250] loss=5.5181 feat_std=0.0159 lr=0.00110 m=0.99622
  [ep 7 step 4300] loss=5.4966 feat_std=0.0159 lr=0.00110 m=0.99623
  [ep 7 step 4350] loss=5.4787 feat_std=0.0160 lr=0.00110 m=0.99624
  [ep 7 step 4400] loss=5.4255 feat_std=0.0159 lr=0.00110 m=0.99624
  [ep 7 step 4450] loss=5.4154 feat_std=0.0159 lr=0.00109 m=0.99625
  [ep 8 step 4500] loss=5.4507 feat_std=0.0158 lr=0.00109 m=0.99625
  [ep 8 step 4550] loss=5.4367 feat_std=0.0158 lr=0.00109 m=0.99626
  [ep 8 step 4600] loss=5.4473 feat_std=0.0157 lr=0.00109 m=0.99626
  [ep 8 step 4650] loss=5.4148 feat_std=0.0157 lr=0.00109 m=0.99627
  [ep 8 step 4700] loss=5.4202 feat_std=0.0157 lr=0.00109 m=0.99627
  [ep 8 step 4750] loss=5.3861 feat_std=0.0158 lr=0.00109 m=0.99628
  [ep 8 step 4800] loss=5.3259 feat_std=0.0158 lr=0.00109 m=0.99629
  [ep 8 step 4850] loss=5.3432 feat_std=0.0157 lr=0.00108 m=0.99629
  [ep 8 step 4900] loss=5.3373 feat_std=0.0158 lr=0.00108 m=0.99630
  [ep 8 step 4950] loss=5.3232 feat_std=0.0157 lr=0.00108 m=0.99630
  [ep 8 step 5000] loss=5.3958 feat_std=0.0158 lr=0.00108 m=0.99631
  [ep 9 step 5050] loss=5.3456 feat_std=0.0157 lr=0.00108 m=0.99631
  [ep 9 step 5100] loss=5.3268 feat_std=0.0156 lr=0.00108 m=0.99632
  [ep 9 step 5150] loss=5.3700 feat_std=0.0155 lr=0.00108 m=0.99633
  [ep 9 step 5200] loss=5.3257 feat_std=0.0156 lr=0.00108 m=0.99633
  [ep 9 step 5250] loss=5.2680 feat_std=0.0156 lr=0.00107 m=0.99634
  [ep 9 step 5300] loss=5.2422 feat_std=0.0157 lr=0.00107 m=0.99635
  [ep 9 step 5350] loss=5.2921 feat_std=0.0155 lr=0.00107 m=0.99635
  [ep 9 step 5400] loss=5.3279 feat_std=0.0155 lr=0.00107 m=0.99636
  [ep 9 step 5450] loss=5.2836 feat_std=0.0156 lr=0.00107 m=0.99636
  [ep 9 step 5500] loss=5.2333 feat_std=0.0156 lr=0.00107 m=0.99637
  [ep 9 step 5550] loss=5.2842 feat_std=0.0154 lr=0.00107 m=0.99638
  [ep 10 step 5600] loss=5.2615 feat_std=0.0155 lr=0.00106 m=0.99638
  [ep 10 step 5650] loss=5.3065 feat_std=0.0154 lr=0.00106 m=0.99639
  [ep 10 step 5700] loss=5.2903 feat_std=0.0154 lr=0.00106 m=0.99640
  [ep 10 step 5750] loss=5.1894 feat_std=0.0155 lr=0.00106 m=0.99640
